time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.1,0.1,6.12,101.12,0.06027969974845684
10,15,20,60,20,10,8,8,5,5,11,10,0.1,0.1,0.1,5.79,99.09,0.05748490305200634
10,15,20,60,20,10,8,8,5,5,12,10,0.1,0.1,0.1,5.96,100.07,0.05927664644888992
10,15,20,60,20,10,8,8,5,5,13,10,0.1,0.1,0.1,5.23,100.15,0.05124890721924441
10,15,20,60,20,10,8,8,5,5,14,10,0.1,0.1,0.1,5.74,99.16,0.05728857286259949
10,15,20,60,20,10,8,8,5,5,15,10,0.1,0.1,0.1,6.33,101.18,0.061964468627882636
10,15,20,60,20,10,8,8,5,5,16,10,0.1,0.1,0.1,6.29,99.28,0.06276283119520114
10,15,20,60,20,10,8,8,5,5,17,10,0.1,0.1,0.1,6.39,100.36,0.0635829837138857
10,15,20,60,20,10,8,8,5,5,18,10,0.1,0.1,0.1,6.28,97.87,0.06298924871935949
10,15,20,60,20,10,8,8,5,5,19,10,0.1,0.1,0.1,5.43,100.56,0.05377565338141659
10,15,20,60,20,10,8,8,5,5,20,10,0.1,0.1,0.1,6.24,101.12,0.06061114148295764
10,15,20,60,20,10,8,8,5,5,21,10,0.1,0.1,0.1,5.72,99.04,0.05714477095289492
10,15,20,60,20,10,8,8,5,5,22,10,0.1,0.1,0.1,6.73,102.26,0.06506810623337489
10,15,20,60,20,10,8,8,5,5,23,10,0.1,0.1,0.1,6.57,99.82,0.06514192692761378
10,15,20,60,20,10,8,8,5,5,24,10,0.1,0.1,0.1,5.83,99.38,0.05781424422979274
10,15,20,60,20,10,8,8,5,5,25,10,0.1,0.1,0.1,6.03,100.55,0.05930297458502633
10,15,20,60,20,10,8,8,5,5,26,10,0.1,0.1,0.1,5.99,99.71,0.05961516414806222
10,15,20,60,20,10,8,8,5,5,27,10,0.1,0.1,0.1,6.56,100.44,0.06431160570853098
10,15,20,60,20,10,8,8,5,5,28,10,0.1,0.1,0.1,6.29,99.72,0.06265094532559677
10,15,20,60,20,10,8,8,5,5,29,10,0.1,0.1,0.1,6.34,101.67,0.061880023485786986
10,15,20,60,20,10,8,8,5,5,30,10,0.1,0.1,0.1,5.72,99.54,0.05709377340830748
10,15,20,60,20,10,8,8,5,5,31,10,0.1,0.1,0.1,6.39,98.75,0.06412103024417551
10,15,20,60,20,10,8,8,5,5,32,10,0.1,0.1,0.1,5.25,98.49,0.052950587509355974
10,15,20,60,20,10,8,8,5,5,33,10,0.1,0.1,0.1,6.17,101.03,0.0608303874617834
10,15,20,60,20,10,8,8,5,5,34,10,0.1,0.1,0.1,6.1,99.88,0.05989951669512838
10,15,20,60,20,10,8,8,5,5,35,10,0.1,0.1,0.1,6.19,99.16,0.06228839838678854
10,15,20,60,20,10,8,8,5,5,36,10,0.1,0.1,0.1,5.77,100.63,0.056449455408711956
10,15,20,60,20,10,8,8,5,5,37,10,0.1,0.1,0.1,6.04,101.59,0.05896036027347853
10,15,20,60,20,10,8,8,5,5,38,10,0.1,0.1,0.1,6.05,100.41,0.059432363265058796
10,15,20,60,20,10,8,8,5,5,39,10,0.1,0.1,0.1,6.83,101.9,0.06653775949598997
10,15,20,60,20,10,8,8,5,5,40,10,0.1,0.1,0.1,6.23,100.3,0.06170156638413337
10,15,20,60,20,10,8,8,5,5,41,10,0.1,0.1,0.1,6.74,99.45,0.06747798550990292
10,15,20,60,20,10,8,8,5,5,42,10,0.1,0.1,0.1,5.92,99.07,0.05876622505063315
10,15,20,60,20,10,8,8,5,5,43,10,0.1,0.1,0.1,6.5,101.52,0.06343334490794125
10,15,20,60,20,10,8,8,5,5,44,10,0.1,0.1,0.1,6.34,100.18,0.06270566217412948
10,15,20,60,20,10,8,8,5,5,45,10,0.1,0.1,0.1,6.03,100.93,0.0591552430467736
10,15,20,60,20,10,8,8,5,5,46,10,0.1,0.1,0.1,6.01,99.77,0.06026952804783888
10,15,20,60,20,10,8,8,5,5,47,10,0.1,0.1,0.1,6.09,98.65,0.061013657600016674
10,15,20,60,20,10,8,8,5,5,48,10,0.1,0.1,0.1,6.02,100.4,0.05957846061541221
10,15,20,60,20,10,8,8,5,5,49,10,0.1,0.1,0.1,5.76,100.0,0.05675285111849564
10,15,20,60,20,10,8,8,5,5,50,10,0.1,0.1,0.1,6.14,99.86,0.0605652169885267
10,15,20,60,20,10,8,8,5,5,51,10,0.1,0.1,0.1,5.79,99.74,0.05768859425201826
10,15,20,60,20,10,8,8,5,5,52,10,0.1,0.1,0.1,5.67,98.39,0.057220212708662725
10,15,20,60,20,10,8,8,5,5,53,10,0.1,0.1,0.1,6.4,100.6,0.06322253566150382
10,15,20,60,20,10,8,8,5,5,54,10,0.1,0.1,0.1,5.47,98.75,0.0541474570969819
10,15,20,60,20,10,8,8,5,5,55,10,0.1,0.1,0.1,6.27,99.73,0.06259149077868584
10,15,20,60,20,10,8,8,5,5,56,10,0.1,0.1,0.1,6.04,98.44,0.060143915400295615
10,15,20,60,20,10,8,8,5,5,57,10,0.1,0.1,0.1,6.23,99.75,0.06160599144848548
10,15,20,60,20,10,8,8,5,5,58,10,0.1,0.1,0.1,6.24,100.05,0.06155338501910907
10,15,20,60,20,10,8,8,5,5,59,10,0.1,0.1,0.1,5.52,99.0,0.05490894962380299
