time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.2,0.03,0.1,6.97,197.12,0.035054089170747205
10,15,20,60,20,10,8,8,5,5,11,10,0.2,0.03,0.1,7.03,199.7,0.035184832390750806
10,15,20,60,20,10,8,8,5,5,12,10,0.2,0.03,0.1,8.2,199.48,0.04098769072364895
10,15,20,60,20,10,8,8,5,5,13,10,0.2,0.03,0.1,6.62,200.28,0.03268274993619981
10,15,20,60,20,10,8,8,5,5,14,10,0.2,0.03,0.1,6.9,200.63,0.03411758185043489
10,15,20,60,20,10,8,8,5,5,15,10,0.2,0.03,0.1,6.86,199.13,0.034072973798811385
10,15,20,60,20,10,8,8,5,5,16,10,0.2,0.03,0.1,7.88,201.17,0.038727886174687615
10,15,20,60,20,10,8,8,5,5,17,10,0.2,0.03,0.1,7.71,198.59,0.03866387865827236
10,15,20,60,20,10,8,8,5,5,18,10,0.2,0.03,0.1,6.88,200.88,0.03383384528078459
10,15,20,60,20,10,8,8,5,5,19,10,0.2,0.03,0.1,7.23,201.88,0.03556644819714301
10,15,20,60,20,10,8,8,5,5,20,10,0.2,0.03,0.1,7.19,197.75,0.03619050415766709
10,15,20,60,20,10,8,8,5,5,21,10,0.2,0.03,0.1,7.4,199.59,0.03686919687191217
10,15,20,60,20,10,8,8,5,5,22,10,0.2,0.03,0.1,8.16,201.22,0.04016205637566208
10,15,20,60,20,10,8,8,5,5,23,10,0.2,0.03,0.1,5.89,200.35,0.02924532094337284
10,15,20,60,20,10,8,8,5,5,24,10,0.2,0.03,0.1,7.37,201.69,0.03644294891393049
10,15,20,60,20,10,8,8,5,5,25,10,0.2,0.03,0.1,7.94,200.9,0.03925823031188378
10,15,20,60,20,10,8,8,5,5,26,10,0.2,0.03,0.1,6.96,200.57,0.03455904247677581
10,15,20,60,20,10,8,8,5,5,27,10,0.2,0.03,0.1,8.02,200.3,0.03932152100226047
10,15,20,60,20,10,8,8,5,5,28,10,0.2,0.03,0.1,7.64,199.4,0.03808856608698483
10,15,20,60,20,10,8,8,5,5,29,10,0.2,0.03,0.1,6.52,200.79,0.03239755023003682
