time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.2,0.03,0.1,7,174,0.040229885057471264
10,15,20,90,20,10,8,8,5,5,11,10,0.2,0.03,0.1,9,185,0.04864864864864865 
10,15,20,120,20,10,8,8,5,5,12,10,0.2,0.03,0.1,25,197,0.129035553229919238
10,15,20,150,20,10,8,8,5,5,13,10,0.2,0.03,0.1,22,193,0.1139863730569948
10,15,20,150,20,10,8,8,5,5,14,10,0.2,0.03,0.2,31,190,0.1631578947368421
10,15,20,150,20,10,8,8,5,5,15,10,0.2,0.03,0.3,87,213,0.4084507042253521
10,15,20,150,20,10,8,8,5,5,16,10,0.2,0.03,0.4,130,208,0.625
10,15,20,150,20,10,8,8,5,5,17,10,0.2,0.03,0.5,157,201,0.78109445273631841
10,15,20,180,20,10,8,8,5,5,18,10,0.2,0.03,0.5,141,209,0.6746411483253588
10,15,20,210,20,10,8,8,5,5,19,10,0.2,0.03,0.5,113,206,0.5485436893203883
10,15,20,240,20,10,8,8,5,5,20,10,0.2,0.03,0.5,133,195,0.6820512820512821
10,15,20,240,20,10,8,8,5,5,21,10,0.2,0.03,0.6,120,186,0.6451612903225806
10,15,20,270,20,10,8,8,5,5,22,10,0.2,0.03,0.7,104,197,0.527918781725884
10,15,20,300,20,10,8,8,5,5,23,10,0.2,0.03,0.8,124,189,0.656084656084656
10,15,20,330,20,10,8,8,5,5,24,10,0.2,0.03,0.9,176,212,0.8301886792452831
10,15,20,360,20,10,8,8,5,5,25,10,0.2,0.03,0.9,158,190,0.8315789473684211
10,15,20,390,20,10,8,8,5,5,26,10,0.2,0.03,0.9,164,204,0.803921568627451
10,15,20,420,20,10,8,8,5,5,27,10,0.2,0.03,1,165,192,0.859315
10,15,20,450,20,10,8,8,5,5,28,10,0.8,0.03,1,784,820,0.95609775609756097
10,15,20,480,20,10,8,8,5,5,29,10,0.8,0.09,1,732,810,0.903703037037037
