time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.1,0.3,0.1,12.47,99.98,0.12342432270572118
10,15,20,60,20,10,8,8,5,5,11,10,0.1,0.3,0.1,11.7,99.51,0.1164062973277103
10,15,20,60,20,10,8,8,5,5,12,10,0.1,0.3,0.1,11.86,99.16,0.11847192225606486
10,15,20,60,20,10,8,8,5,5,13,10,0.1,0.3,0.1,11.77,101.48,0.1152222057978411
10,15,20,60,20,10,8,8,5,5,14,10,0.1,0.3,0.1,11.9,98.88,0.11903372882102965
10,15,20,60,20,10,8,8,5,5,15,10,0.1,0.3,0.1,11.84,100.53,0.11709460731226969
10,15,20,60,20,10,8,8,5,5,16,10,0.1,0.3,0.1,11.96,100.87,0.11737029212015142
10,15,20,60,20,10,8,8,5,5,17,10,0.1,0.3,0.1,12.37,99.63,0.12408032364735685
10,15,20,60,20,10,8,8,5,5,18,10,0.1,0.3,0.1,12.34,99.7,0.12230781370048477
10,15,20,60,20,10,8,8,5,5,19,10,0.1,0.3,0.1,12.27,100.54,0.12106505554279737
10,15,20,60,20,10,8,8,5,5,20,10,0.1,0.3,0.1,11.48,99.48,0.1145226483391115
10,15,20,60,20,10,8,8,5,5,21,10,0.1,0.3,0.1,12.26,99.56,0.12163005555112108
10,15,20,60,20,10,8,8,5,5,22,10,0.1,0.3,0.1,11.75,99.79,0.11748375240856661
10,15,20,60,20,10,8,8,5,5,23,10,0.1,0.3,0.1,11.12,98.5,0.11263096797581687
10,15,20,60,20,10,8,8,5,5,24,10,0.1,0.3,0.1,12.13,101.38,0.11873300184163217
10,15,20,60,20,10,8,8,5,5,25,10,0.1,0.3,0.1,11.79,99.02,0.11781330172112511
10,15,20,60,20,10,8,8,5,5,26,10,0.1,0.3,0.1,12.62,102.07,0.12223152383031376
10,15,20,60,20,10,8,8,5,5,27,10,0.1,0.3,0.1,11.97,100.6,0.1183371134233854
10,15,20,60,20,10,8,8,5,5,28,10,0.1,0.3,0.1,11.82,99.45,0.11763566603832425
10,15,20,60,20,10,8,8,5,5,29,10,0.1,0.3,0.1,12.9,100.81,0.12634330193734683
